,16-24,25-54,55+,Overall
1997/12/1,9.8,4.5,2.9,4.7
1998/1/1,9.9,4.6,2.9,4.7
1998/2/1,10.1,4.6,3.0,4.7
1998/3/1,10.1,4.6,2.9,4.7
1998/4/1,10.1,4.6,3.1,4.8
1998/5/1,9.9,4.7,3.2,4.9
1998/6/1,10.2,4.7,3.2,4.9
1998/7/1,10.1,4.8,3.2,5.0
1998/8/1,10.2,4.8,3.2,5.0
1998/9/1,10.1,4.8,3.2,5.0
1998/10/1,10.0,4.9,3.3,5.0
1998/11/1,9.9,4.9,3.4,5.0
1998/12/1,9.9,4.9,3.3,5.0
1999/1/1,9.8,4.9,3.2,5.1
1999/2/1,9.6,5.0,3.3,5.1
1999/3/1,9.7,5.1,3.2,5.2
1999/4/1,9.6,5.1,3.0,5.1
1999/5/1,9.7,5.1,3.1,5.1
1999/6/1,9.3,5.0,3.2,5.1
1999/7/1,9.2,5.0,3.2,5.0
1999/8/1,8.9,5.0,3.2,5.0
1999/9/1,8.8,5.0,3.2,5.0
1999/10/1,8.8,5.0,3.2,5.1
1999/11/1,8.8,5.1,3.1,5.1
1999/12/1,8.8,5.1,3.2,5.0
2000/1/1,8.6,5.0,3.3,5.0
2000/2/1,8.5,5.0,3.3,5.0
2000/3/1,8.3,4.9,3.5,4.9
2000/4/1,8.3,4.9,3.6,4.9
2000/5/1,8.3,4.9,3.6,4.9
2000/6/1,8.4,5.0,3.6,5.0
2000/7/1,8.7,5.0,3.6,5.0
2000/8/1,8.7,5.0,3.6,5.0
2000/9/1,9.2,5.0,3.7,5.0
2000/10/1,9.2,5.0,3.7,5.0
2000/11/1,9.3,5.0,3.7,5.1
2000/12/1,9.4,5.0,3.8,5.1
2001/1/1,9.5,5.1,3.7,5.1
2001/2/1,9.7,5.1,3.8,5.2
2001/3/1,9.8,5.1,3.7,5.2
2001/4/1,9.9,5.2,3.7,5.2
2001/5/1,9.8,5.1,3.8,5.2
2001/6/1,9.7,5.2,3.7,5.3
2001/7/1,9.3,5.2,3.7,5.2
2001/8/1,9.1,5.3,3.6,5.2
2001/9/1,8.9,5.2,3.7,5.2
2001/10/1,8.5,5.2,3.7,5.2
